time,time,min,max
0,0,0,0
4.99443, 4.99443, 5.97401e-06, 0.084583
9.99323, 9.99323, 2.80677e-05, 0.324686
14.9916, 14.9916, 0.00137967, 0.823688
19.993, 19.993, 0.00841877, 6.10108
24.9934, 24.9934, 0.0215457, 54.4091
29.9992, 29.9992, 0.0280345, 154.139
34.9985, 34.9985, 0.043332, 84.6285
39.9972, 39.9972, 0.0438696, 82.1926
44.9986, 44.9986, 0.193585, 67.4474
49.998, 49.998, 0.529041, 46.1452
54.9972, 54.9972, 0.648462, 49.862
59.9984, 59.9984, 1.04878, 84.2495
64.9956, 64.9956, 1.65001, 116.496
69.9975, 69.9975, 2.02359, 40.62
74.9971, 74.9971, 2.94985, 30.7734
79.9983, 79.9983, 2.64855, 29.4822
80.001, 80.001, 2.65055, 29.5969